opening_name,opening_variation,count
Sicilian Defense," Lasker-Pelikan Variation, Bird Variation",1159
Vienna Game," Vienna Gambit, Bardeleben Variation",1157
Benoni Defense, Knight's Tour Variation,1157
Queen's Gambit Accepted," Classical Defense, Steinitz Variation, Development Variation",1156
Queen's Gambit Accepted, Schwartz Defense,1153
Queen's Gambit Declined," Cambridge Springs Defense, Bogoljubov Variation",1152
King's Gambit Accepted," Salvio Gambit, Anderssen Counterattack",1144
Benoni Defense, Uhlmann Variation,1142
King's Gambit Accepted," Bishop's Gambit, Lopez Defense",1140
King's Gambit Accepted," Kieseritzky Gambit, Cotter Gambit",1138
Nimzo-Indian Defense," Classical Variation, Zurich Variation",1133
Hungarian Opening, Van Kuijk Gambit,1130
Bird Opening, Horsefly Defense,1114
Rubinstein Opening, Classical Defense,1112
Queen's Indian Defense," Fianchetto Variation, Check Variation, Intermezzo Line",1107
Grünfeld Defense, Opocensky Variation,1104
Sicilian Defense," Richter-Rauzer Variation, Vitolins Variation",1096
French Defense," Winawer Variation, Advance Variation, Moscow Variation",1096
Sicilian Defense," Alapin Variation, Barmen Defense, Endgame Variation",1096
Neo-Grünfeld Defense," Classical Variation, Polgar Variation",1093
Indian Defense, Gibbins-Wiedenhagen Gambit Accepted,1092
Ruy Lopez," Marshall Attack, Original Marshall Attack",1089
Sicilian Defense," Dragon Variation, Classical Variation, Normal Line",1086
Scandinavian Defense, Kádas Gambit,1086
Ruy Lopez," Closed, Smyslov Defense",1083
Vulture Defense,~,1082
Queen's Gambit Declined, Miles Variation,1076
Polish Defense, Spassky Gambit Accepted,1066
Ruy Lopez," Closed, Kholmov Variation",1062
Indian Defense, Pyrenees Gambit,1054
Queen's Indian Defense," Classical Variation, Traditional Variation, Main Line",1054
Nimzo-Indian Defense, Ragozin Defense,1047
Nimzo-Indian Defense," Normal Variation, Taimanov Variation",1038
Sicilian Defense," O'Kelly Variation, Kieseritzky System",1036
London System, Poisoned Pawn Variation,1030
Modern Defense, Fianchetto Gambit,1029
French Defense," Rubinstein Variation, Maric Variation",1028
Ruy Lopez," Closed, Center Attack",1025
King's Gambit Accepted, Breyer Gambit,1019
King's Indian Defense," Semi-Classical Variation, Exchange Variation",1015
Sicilian Defense, Venice Attack,1014
Sicilian Defense, Brick Variation,1013
King's Pawn Game, Bavarian Gambit,1006
Slav Defense," Czech Variation, Krause Attack",1004
Polish Opening, Rooks Swap Line,999
Four Knights Game, Nimzowitsch Variation,995
Ponziani Opening, Caro Gambit,992
King's Indian Defense," Petrosian Variation, Normal Defense",991
Dutch Defense, Nimzo-Dutch Variation,991
Englund Gambit Complex Declined, Diemer Counterattack,990
Benko Gambit Declined, Sosonko Variation,988
Sicilian Defense," O'Kelly Variation, Venice System, Barcza Line",980
Sicilian Defense," Richter-Rauzer Variation, Neo-Modern Variation, Early Deviations",979
Benko Gambit Declined, Quiet Line,978
English Opening," Agincourt Defense, Bogoljubov Defense",976
Queen's Gambit Declined," Harrwitz Attack, Main Line",969
Pirc Defense, Chinese Variation,964
Benko Gambit Accepted, Dlugy Variation,960
King's Gambit Accepted, Greco Gambit,957
King's Gambit Accepted," Bishop's Gambit, Bogoljubov Defense",957
Bird Opening, Mujannah,952
Ruy Lopez, Bird's Defense Deferred,945
Sicilian Defense," O'Kelly Variation, Maróczy Bind, Geller Line",943
Van Geet Opening, Kluever Gambit,939
Ruy Lopez, Bulgarian Variation,939
Sicilian Defense," Smith-Morra Gambit Accepted, Taimanov Formation",938
Benoni Defense," Classical Variation, Main Line",938
Indian Defense, Dzindzi-Indian Defense,936
Queen's Gambit Declined," Albin Countergambit, Fianchetto Variation, Be6 Line",933
Queen's Indian Defense, Riumin Variation,933
Queen's Indian Defense, Anti-Queen's Indian System,931
French Defense," Classical Variation, Alapin Variation",927
Polish Opening, Tartakower Gambit,926
Queen's Indian Defense, Miles Variation,924
King's Pawn Game, Pachman Wing Gambit,923
Catalan Opening," Closed, Botvinnik Variation",923
Sicilian Defense," Smith-Morra Gambit Declined, Wing Formation",921
King's Gambit Accepted, Mayet Gambit,913
Sicilian Defense," Dragon Variation, Yugoslav Attack, Czerniak Variation",913
Torre Attack, Wagner Gambit,912
Scotch Game," Classical Variation, Millennium Variation",905
King's Gambit Accepted, Gaga Gambit,903
Ruy Lopez," Classical Variation, Charousek Variation",891
Sicilian Defense," Rossolimo Variation, Brooklyn Retreat Defense",891
Queen's Gambit Declined," Semi-Tarrasch Defense, San Sebastian Variation",887
Réti Opening," Advance Variation, Michel Gambit",884
Italian Game," Classical Variation, Center Holding Variation",881
Italian Game," Evans Gambit, Waller Attack",878
French Defense," Rubinstein Variation, Ellis Gambit",877
Queen's Gambit Accepted," Alekhine Defense, Haberditz Variation",875
Polish Opening, German Defense,874
Semi-Slav Defense," Marshall Gambit, Forgotten Variation",872
Italian Game," Two Knights Defense, Steinitz Variation",870
Neo-Grünfeld Defense, Goglidze Attack,867
Ruy Lopez, Halloween Attack,866
Ruy Lopez," Open Berlin Defense, l'Hermet Variation",863
Horwitz Defense," Dutch Defense, Bellon Gambit",862
King's Indian Attack, Pachman System,861
Grünfeld Defense," Three Knights Variation, Vienna Variation",858
Sicilian Defense," Classical Variation, Fianchetto Variation",857
Philidor Defense," Hanham Variation, Krause Variation",856
Four Knights Game," Scotch Variation, Belgrade Gambit, Modern Defense",854
Queen's Gambit Declined, Westphalian Variation,853
Nimzo-Indian Defense," Normal Variation, Gligoric System, Exchange at c4",853
English Opening," Symmetrical Variation, Double Fianchetto",852
Queen's Gambit Declined," Orthodox Defense, Rubinstein Attack",849
Semi-Slav Defense," Noteboom Variation, Anti-Noteboom Gambit",847
Ruy Lopez," Open, Riga Variation",842
King's Gambit Accepted," Bishop's Gambit, Cozio Variation",840
King's Indian Defense," Fianchetto Variation, Hungarian Variation",831
Ruy Lopez," Open, Bernstein Variation",829
Latvian Gambit Accepted, Bronstein Attack,829
Philidor Defense," Hanham Variation, Delmar Variation",822
Ruy Lopez," Exchange Variation, Bronstein Variation",816
Tarrasch Defense," Classical Variation, Carlsbad Variation",814
Nimzo-Indian Defense, Fischer Variation,808
Sicilian Defense," Najdorf Variation, Poisoned Pawn Accepted",807
Caro-Kann Defense, Spike Variation,806
Polish Opening, Queenside Defense,804
Alekhine Defense," Modern Variation, Alekhine Variation",804
Alekhine Defense," Modern Variation, Flohr Variation",803
King's Gambit Accepted," Rosentreter Gambit, Bird Gambit",802
Queen's Pawn Game, Morris Countergambit,802
Benoni Defense," Classical Variation, Czerniak Defense",799
Rat Defense, Petruccioli Attack,795
Elephant Gambit, Wasp Variation,790
Benoni Defense," Classical Variation, Czerniak Defense, Tal Line",790
Sicilian Defense," Hyperaccelerated Pterodactyl, Exchange Variation",786
Slav Defense," Czech Variation, Classical System, Main Line",783
Ruy Lopez," Berlin Defense, Hedgehog Variation",782
King's Gambit Declined," Falkbeer Countergambit, Anderssen Attack",780
King's Indian Defense," Averbakh Variation, Nc6 Defense",779
Sicilian Defense," Scheveningen Variation, Delayed Keres Attack",778
Sicilian Defense," Delayed Alapin, Basman-Palatnik Double Gambit",778
Ruy Lopez," Open, Skipworth Gambit",774
Philidor Defense, Paulsen Attack,774
Ruy Lopez," Classical Defense, Benelux Variation",773
Queen's Gambit Declined," Tartakower Defense, Exchange Variation",772
Indian Defense," Knights Variation, Alburt-Miles Variation",768
Ruy Lopez," Berlin Defense, Nyholm Attack",767
Ponziani Opening, Steinitz Variation,754
Nimzowitsch Defense," Scandinavian Variation, Aachen Gambit",754
King's Gambit Accepted, Kieseritzky Gambit,751
Queen's Gambit Declined," Cambridge Springs Defense, Yugoslav Variation",748
Scotch Game," Classical Variation, Blackburne Attack",747
Italian Game," Scotch Gambit, Max Lange Attack Accepted",745
Sicilian Defense," Delayed Alapin, Basman-Palatnik Gambit",741
Sicilian Defense," O'Kelly Variation, Normal System, Cortlever Gambit",738
Rubinstein Opening, Bogoljubov Defense,736
English Opening," King's English Variation, Smyslov Defense",735
Sicilian Defense," Nimzowitsch Variation, Main Line",734
English Opening," King's English Variation, Closed System, Full Symmetry",732
Ponziani Opening, Réti Variation,731
Nimzo-Indian Defense," Normal Variation, Botvinnik System",729
Italian Game, Giuoco Piano,728
Owen Defense, Naselwaus Gambit,728
French Defense," MacCutcheon Variation, Advance Variation",726
Caro-Kann Defense, Finnish Variation,725
Nimzo-Indian Defense," Classical Variation, Keres Defense",722
Alekhine Defense," Four Pawns Attack, Cambridge Gambit",720
Benoni Defense, Pawn Storm Variation,716
Ware Defense, Snagglepuss Defense,715
Slav Defense," Czech Variation, Wiesbaden Variation",713
Modern Defense, Gurgenidze Defense,711
Tarrasch Defense," Classical Variation, Advance Variation",706
Dutch Defense, Fianchetto Variation,706
Sicilian Defense, Gaw-Paw Variation,703
Slav Defense, Süchting Variation,702
Semi-Slav Defense," Stoltz Variation, Shabalov Attack",700
Caro-Kann Defense," Advance Variation, Prins Attack",698
Sicilian Defense," Kan Variation, Wing Attack, Fianchetto Variation",698
King's Gambit Accepted," Rosentreter Gambit, Testa Variation",693
French Defense, MacCutcheon Variation,691
Sicilian Defense," Najdorf Variation, Polugaevsky Variation",691
French Defense," Tarrasch Variation, Eliskases Variation",690
Sicilian Defense," Nimzowitsch Variation, Exchange Variation",689
Queen's Gambit Declined," Harrwitz Attack, Two Knights Defense, Blockade Line",684
Pterodactyl Defense," Eastern, Pteranodon",683
St. George Defense," New St. George, Sanky-George Gambit",683
Philidor Defense," Lion Variation, Bishop Sacrifice",681
Queen's Indian Defense, Yates Variation,675
Sicilian Defense," O'Kelly Variation, Wing Gambit",673
Grünfeld Defense, Counterthrust Variation,673
Réti Opening," Anglo-Slav Variation, Capablanca Variation",672
King's Gambit Accepted," Bishop's Gambit, Steinitz Defense",666
Blackmar-Diemer Gambit, Kaulich Defense,665
Bishop's Opening," Boden-Kieseritzky Gambit, Lichtenhein Defense",663
Ruy Lopez," Marshall Attack, Main Line",661
Pirc Defense," Austrian Attack, Unzicker Attack, Bronstein Variation",658
Neo-Grünfeld Defense, Exchange Variation,657
King's Gambit Accepted," Allgaier Gambit, Urusov Attack",655
King's Gambit Accepted," Bishop's Gambit, Boden Variation",651
Carr Defense, Zilbermints Gambit,646
St. George Defense, Zilbermints Gambit,646
Queen's Gambit Accepted, Godes Variation,645
Indian Defense, Medusa Gambit,644
Neo-Grünfeld Defense,~,643
French Defense," Winawer Variation, Retreat Variation, Armenian Line",642
Benoni Defense, Woozle,642
Scotch Game, Horwitz Attack,638
Queen's Gambit Declined," Orthodox Defense, Fianchetto Variation",637
King's Pawn Game, La Bourdonnais Gambit,636
Ruy Lopez," Classical Defense, Boden Variation",634
Alekhine Defense, Kmoch Variation,629
Bishop's Opening, Lopez Variation,628
Vienna Game, Hamppe-Meitner Variation,628
Bishop's Opening, Anderssen Gambit,628
Nimzo-Indian Defense," Classical Variation, Milner-Barry Variation",626
King's Gambit Accepted, Philidor Gambit,616
Scandinavian Defense," Anderssen Counterattack, Collijn Variation",613
English Opening," King's English Variation, Closed System",613
Sicilian Defense, Magnus Smith Trap,605
Queen's Indian Defense, Fianchetto Variation,602
King's Gambit Declined," Falkbeer Countergambit, Miles Gambit",602
French Defense, Banzai-Leong Gambit,600
Russian Game, Kaufmann Attack,599
Van Geet Opening, Myers Attack,596
Trompowsky Attack, Poisoned Pawn Variation,595
Nimzo-Indian Defense," Normal Variation, Schlechter Defense",593
French Defense," Exchange Variation, Bogoljubov Variation",590
Philidor Defense," Nimzowitsch Variation, Rellstab Variation",589
Semi-Slav Defense," Noteboom Variation, Anti-Noteboom Variation, Belyavsky Line",583
Russian Game," Classical Attack, Chigorin Variation",583
Ruy Lopez," Classical Variation, Cordel Gambit",581
Zukertort Defense, Sicilian Knight Variation,581
Réti Opening," Anglo-Slav Variation, Bled Variation",577
Zukertort Opening, Drunken Cavalry Variation,575
Ruy Lopez," Morphy Defense, Modern Steinitz Defense, Siesta Variation",575
Philidor Defense," Lion Variation, Shirov Gambit",575
Sicilian Defense," Kan Variation, Maróczy Bind, Bronstein Variation",574
Grünfeld Defense," Exchange Variation, Modern Exchange Variation, Kramnik's Line",573
King's Indian Defense," Fianchetto Variation, Benjamin Defense",572
Pterodactyl Defense," Fianchetto, Queen Pteranodon",571
Benko Gambit Declined, Bishop Attack,570
Ruy Lopez," Marshall Attack, Steiner Variation",567
Italian Game," Evans Gambit, Lasker Defense",561
Queen's Indian Defense," Classical Variation, Polugaevsky Gambit",560
English Defense, Perrin Variation,559
Pterodactyl Defense," Western, Pterodactyl",559
Sicilian Defense, Yates Variation,558
Italian Game, Evans Gambit Accepted,555
French Defense," Classical Variation, Tarrasch Variation",554
Dutch Defense, Blackburne Variation,554
Benoni Defense," Fianchetto Variation, Hastings Defense, Main Line",553
Ruy Lopez," Morphy Defense, Fianchetto Defense Deferred",553
Dutch Defense, Omega-Isis Gambit,553
Sicilian Defense," Najdorf Variation, Neo-Classical Defense",552
Nimzo-Indian Defense, Mikenas Attack,552
French Defense," MacCutcheon Variation, Bernstein Variation",552
Ruy Lopez," Open, Main Line",551
Ponziani Opening," Ponziani Countergambit, Schmidt Attack",547
Indian Defense, Devin Gambit,545
Queen's Gambit Declined," Semi-Slav, Abrahams Variation",541
French Defense," Classical Variation, Vistaneckis Variation",540
Zukertort Opening," Arctic Defense, Drunken Knight Variation",539
English Defense, Eastbourne Gambit,538
Goldsmith Defense, Picklepuss Defense,538
Semi-Slav Defense, Semi-Meran Variation,538
Benko Gambit Declined, Pseudo-Sämisch,537
Mikenas Defense, Pozarek Gambit,537
Scotch Game, Fraser Variation,536
English Opening, Adorjan Defense,536
French Defense," MacCutcheon Variation, Wolf Gambit",535
King's Indian Defense," Fianchetto Variation, Double Fianchetto Attack",535
French Defense," Tarrasch Variation, Botvinnik Variation",531
Nimzo-Indian Defense," Classical Variation, Berlin Variation, Pirc Variation",531
King's Gambit Accepted," Salvio Gambit, Silberschmidt Defense",531
King's Indian Defense," Orthodox Variation, Bayonet Attack, Sokolov's Line",531
Ruy Lopez," Berlin Defense, Mortimer Trap",530
Sicilian Defense," Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation, Gufeld Gambit",529
French Defense," Alekhine-Chatard Attack, Spielmann Variation",529
Semi-Slav Defense," Botvinnik Variation, Lilienthal Variation",529
Scandinavian Defense," Portuguese Variation, Portuguese Gambit",526
Ponziani Opening, Leonhardt Variation,525
Ruy Lopez," Closed, Rosen Attack",525
English Opening," King's English, Mazedonisch",525
Van Geet Opening, Tübingen Gambit,519
Rat Defense, Spike Attack,519
Vienna Game," Vienna Gambit, Hamppe-Muzio Gambit",517
Grünfeld Defense, Zaitsev Gambit,515
Van Geet Opening," Caro-Kann Variation, St. Patrick's Attack",514
King's Indian Defense," Sämisch Variation, Panno Main Line",513
Queen's Gambit Declined," Cambridge Springs Defense, Rubinstein Variation",511
Ruy Lopez," Closed, Keres Defense",509
Indian Defense," Budapest Defense, Alekhine Variation, Tartakower Defense",509
Indian Defense," Budapest Defense, Fajarowicz-Steiner Variation",508
Barnes Opening, Fool's Mate,506
Semi-Slav Defense," Noteboom Variation, Abrahams Variation",505
King's Indian Defense," Sämisch Variation, Panno Formation",503
King's Indian Defense," Orthodox Variation, Modern System",500
Alekhine Defense, Welling Variation,500
Sicilian Defense," Richter-Rauzer Variation, Exchange Variation",499
English Opening, Wing Gambit,498
English Opening," King's English Variation, Botvinnik System",498
Scotch Game, Cochrane-Shumov Defense,498
English Opening," Anglo-Indian Defense, King's Indian Formation, Double Fianchetto",497
Philidor Defense," Hanham Variation, Steiner Variation",496
King's Gambit Accepted," Kieseritzky Gambit, Berlin Defense",496
Ruy Lopez, Central Countergambit,496
Italian Game," Scotch Gambit, Max Lange Attack, Long Variation",494
Sicilian Defense," Najdorf Variation, Browne Variation",493
Tarrasch Defense," Classical Variation, Endgame Variation",493
Queen's Gambit Declined," Capablanca Variation, Anti-Cambridge Springs Variation",492
Italian Game," Giuoco Piano, Rosentreter Variation",491
Ruy Lopez," Steinitz Defense, Center Gambit",490
Indian Defense, Döry Indian,490
Scandinavian Defense," Anderssen Counterattack, Orthodox Attack",489
King's Gambit Accepted, Stamma Gambit,488
King's Indian Defense," Averbakh Variation, Main Line",487
Grünfeld Defense," Russian Variation, Accelerated Variation",487
Ruy Lopez," Classical Variation, Konikowski Gambit",486
Blackmar-Diemer Gambit," Lemberger Countergambit, Diemer Attack",486
King's Indian Defense, Pomar System,486
French Defense," MacCutcheon Variation, Exchange Variation",485
Italian Game," Evans Gambit, Alapin-Steinitz Variation",485
Queen's Gambit Declined," Orthodox Defense, Henneberger Variation",485
Benko Gambit Declined, Hjørring Countergambit,484
Nimzowitsch Defense, Hornung Gambit,483
Ruy Lopez," Classical Variation, Spanish Wing Gambit",483
Queen's Gambit Accepted," Central Variation, Rubinstein Defense, Yefimov Gambit",482
King's Gambit Declined," Falkbeer Countergambit, Charousek Gambit, Morphy Defense",481
Dutch Defense," Staunton Gambit, Chigorin Variation",481
Russian Game, Moody Gambit,481
English Opening," Agincourt Defense, Keres Defense",481
Benko Gambit," Zaitsev Variation, Nescafe Frappe Attack",481
Grünfeld Defense," Exchange Variation, Nadanian Attack",478
Caro-Kann Defense," Accelerated Panov Attack, Van Weersel Attack",477
Queen's Gambit Declined," Lasker Defense, Main Line",477
Van Geet Opening, Venezolana Variation,473
French Defense," Advance Variation, Frenkel Gambit",472
Vienna Game," Vienna Gambit, Breyer Variation",470
Philidor Defense," Philidor Countergambit, del Rio Attack",469
King's Indian Defense," Fianchetto Variation, Long Variation",467
King's Gambit Accepted, Double Muzio Gambit,466
Ruy Lopez," Closed, Trajkovic Counterattack",466
French Defense," Winawer Variation, Alekhine Gambit, Kan Variation",466
French Defense," MacCutcheon Variation, Janowski Variation",466
Horwitz Defense, Zilbermints Gambit,459
King's Gambit Accepted," Bishop's Gambit, Bledow Variation",457
Sicilian Defense," Scheveningen Variation, Fianchetto Variation",454
St. George Defense, San Jorge Variation,453
St. George Defense," New St. George, Traditional Line",450
English Opening," Anglo-Dutch Defense, Hickmann Gambit",449
Hungarian Opening, Reversed Norwegian Defense,446
Sicilian Defense," Closed, Grob Attack",446
Tarrasch Defense, von Hennig Gambit,445
Scotch Game, Meitner Variation,444
Benoni Defense, Franco-Sicilian Hybrid,443
King's Gambit Accepted," Salvio Gambit, Viennese Variation",442
Owen Defense, Hekili-Loa Gambit,441
Ruy Lopez, Retreat Variation,440
Tarrasch Defense, Wagner Variation,437
King's Indian Defense," Sämisch Variation, Byrne Defense",437
Queen's Indian Defense," Fianchetto Variation, Nimzowitsch Variation, Quiet Line",435
Sicilian Defense," Dragon Variation, Yugoslav Attack, Sosonko Variation",435
King's Gambit Accepted, Dodo Variation,434
Latvian Gambit, Corkscrew Gambit,434
Benoni Defense, Mikenas Variation,432
Grünfeld Defense," Russian Variation, Hungarian Variation",431
Caro-Kann Defense," Karpov Variation, Smyslov Variation, Main Line",430
Four Knights Game, Rubinstein Countergambit,430
Semi-Slav Defense, Gunderam Gambit,427
Scotch Game, Napoleon Gambit,427
Latvian Gambit, Corkscrew Countergambit,425
Tarrasch Defense, Marshall Gambit,425
Vienna Game," Vienna Gambit, Hamppe-Allgaier Gambit",424
King's Indian Attack, Smyslov Variation,424
Modern Defense," Norwegian Defense, Norwegian Gambit",423
King's Pawn Game, Philidor Gambit,422
Vienna Game," Vienna Gambit, Quelle Gambit",422
Queen's Gambit Accepted," Alekhine Defense, Borisenko-Furman Variation",421
Benoni Defense," Classical Variation, Full Line",420
King's Gambit Accepted," Bishop's Gambit, Bledow Countergambit",420
Semi-Slav Defense, Stonewall Defense,417
Ruy Lopez," Morphy Defense, Norwegian Variation, Nightingale Gambit",415
Dutch Defense, Krause Variation,415
Blumenfeld Countergambit Accepted,~,415
King's Gambit Accepted, Eisenberg Variation,414
Italian Game," Scotch Gambit, Canal Variation",414
Owen Defense, Matovinsky Gambit,410
Bogo-Indian Defense, Haiti Variation,409
Colle System, Rhamphorhynchus Variation,406
Indian Defense," Omega Gambit, Arafat Gambit",405
Ruy Lopez," Morphy Defense, Schliemann Defense Deferred, Jaenisch Gambit Deferred",403
Queen's Pawn Game," Levitsky Attack, Euwe Variation, Modern Line",402
Queen's Indian Defense," Kasparov-Petrosian Variation, Classical Variation",401
Anderssen's Opening, Polish Gambit,401
Catalan Opening," Open Defense, Modern Sharp Variation",400
Slav Defense," Exchange Variation, Trifunovic Variation",399
Ruy Lopez," Closed, Zaitsev System",399
Sicilian Defense," Prins Variation, Venice Attack",399
Sicilian Defense," Scheveningen Variation, Classical Variation, Paulsen Variation",398
Benko Gambit Accepted,~,395
Sicilian Defense," Alapin Variation, Barmen Defense, Milner-Barry Attack",395
Queen's Indian Defense," Kasparov-Petrosian Variation, Andersson Variation",394
French Defense," Classical Variation, Rubinstein Variation",391
Queen's Gambit Declined," Semi-Tarrasch Defense, Symmetrical Variation",390
English Opening, Drill Variation,389
Queen's Gambit Declined," Albin Countergambit, Fianchetto Variation, Bf5 Line",387
Ruy Lopez," Closed, Worrall Attack, Castling Line",387
Sicilian Defense," Snyder Variation, Queen Fianchetto Variation",386
Dutch Defense," Classical Variation, Buenos Aires Variation",385
Ruy Lopez," Exchange Variation, Alekhine Variation",385
French Defense," Tarrasch Variation, Chistyakov Defense, Modern Line",385
Caro-Kann Defense," Advance, Short Variation",385
Tarrasch Defense, Rubinstein System,384
Sicilian Defense," Najdorf Variation, Scheveningen Variation",384
Portuguese Opening, Portuguese Gambit,384
Ruy Lopez," Morphy Defense, Chigorin Defense, Panov System",383
Latvian Gambit Accepted, Nimzowitsch Attack,382
Russian Game," Classical Attack, Jaenisch Variation",381
Modern Defense," Bishop Attack, Monkey's Bum",380
Tarrasch Defense," Classical Variation, Réti Variation",379
Kádas Opening, Schneider Gambit,377
Caro-Kann Defense," Karpov Variation, Tiviakov-Fischer Attack",377
Scotch Game, Braune Variation,376
Nimzo-Larsen Attack, Norfolk Gambit,376
Dutch Defense," Classical Variation, Ilyin-Zhenevsky Variation",374
Sicilian Defense," Smith-Morra Gambit Accepted, Sozin Formation",374
Italian Game," Giuoco Piano, Cracow Variation",373
Pterodactyl Defense," Fianchetto, Queen Benoni Pterodactyl",372
Norwegian Defense,~,371
English Opening," Anglo-Dutch Variation, Ferenc Gambit",370
Queen's Pawn Game," Chigorin Variation, Shropshire Defense",369
Philidor Defense," Hanham, Kmoch Variation",368
Queen's Indian Defense," Fianchetto Variation, Kramnik Variation",368
Caro-Kann Defense," Advance Variation, Van der Wiel Attack, Dreyev Defense",366
Ruy Lopez," Berlin Defense, Tarrasch Trap",365
Sicilian Defense, Velimirovic Attack,362
King's Gambit Accepted," Double Muzio Gambit, Bello Gambit",361
Ruy Lopez," Morphy Defense, Wing Attack",359
Pirc Defense," 150 Attack, Sveshnikov-Jansa Attack",359
St. George Defense, St. George Gambit,357
Ruy Lopez," Closed, Borisenko Variation",356
Grünfeld Defense," Russian Variation, Szabo Variation",356
Nimzo-Indian Defense," Normal Variation, Gligoric System, Bernstein Defense",356
Marienbad System,~,355
Grünfeld Defense," Exchange Variation, Modern Exchange Variation, Pawn Grab Line",355
Grünfeld Defense," Russian Variation, Byrne Variation",350
Tarrasch Defense," Prague Variation, Main Line",350
King's Gambit Accepted," Kieseritzky Gambit, Rosenthal Defense",349
Blackmar-Diemer Gambit, Ritter Defense,346
Queen's Gambit Declined," Tarrasch Defense, Pseudo-Tarrasch Bishop Attack",345
Zukertort Defense, Kingside Variation,343
Ruy Lopez," Open, Classical Defense",343
Benoni Defense, Classical,342
Italian Game," Evans Gambit, Morphy Attack",337
Queen's Gambit Declined," Exchange Variation, Sämisch Variation",337
King's Gambit Declined," Falkbeer Countergambit, Charousek Gambit, Old Line",334
Queen's Indian Defense," Fianchetto Variation, Nimzowitsch Variation, Nimzowitsch Attack",333
Dutch Defense," Staunton Gambit, Lasker Variation",330
Queen's Gambit Declined," Semi-Tarrasch Defense, Main Line",329
Réti Opening," Anglo-Slav Variation, London Defensive System",327
Queen's Gambit Accepted," Classical Defense, Normal Line",326
Vienna Game," Stanley Variation, Monster Declined",326
Ruy Lopez," Open, St. Petersburg Variation",324
Pterodactyl Defense," Sicilian, Anhanguera",324
Rubinstein Opening, Semi-Slav Defense,323
Blackmar-Diemer Gambit," Lemberger Countergambit, Sneider Attack",323
Modern Defense," Lizard Defense, Pirc-Diemer Gambit",321
Ruy Lopez," Bird Variation, Paulsen Variation",318
English Opening," Anglo-Indian Defense, Grünfeld Formation",316
Ruy Lopez," Morphy Defense, Alapin's Defense Deferred",316
Tayler Opening,~,315
Sicilian Defense," O'Kelly Variation, Venice System, Gambit Line",314
King's Indian Defense," Orthodox Variation, Donner Defense",314
Sicilian Defense," Pin Variation, Jaffe Variation",312
Scotch Game, Romanishin Variation,310
English Rat, Pounds Gambit,309
French Defense," Rubinstein Variation, Capablanca Line",309
English Opening," Agincourt Defense, Tarrasch Defense",308
Sicilian Defense," Boleslavsky Variation, Louma Variation",307
Queen's Pawn Game," Veresov Attack, Two Knights System, Grünfeld Defense",306
Grünfeld Defense," Brinckmann Attack, Grünfeld Gambit, Capablanca Variation",305
Benoni Defense," Classical Variation, Traditional Variation",304
Grünfeld Defense," Exchange Variation, Sokolsky Variation",304
French Defense," MacCutcheon Variation, Tartakower Variation",304
Latvian Gambit Accepted, Foltys-Leonhardt Variation,304
Borg Opening, Zilbermints Gambit,303
Italian Game," Evans Gambit Declined, Showalter Variation",301
Ruy Lopez," Schliemann Defense, Classical Variation",301
King's Indian Defense," Averbakh Variation, Modern Defense",301
Dutch Defense, Stonewall Variation,301
Grob Opening, Romford Countergambit,300
Old Indian Defense," Janowski Variation, Grinberg Gambit",298
Sicilian Defense," Canal Attack, Haag Gambit",296
Italian Game," Evans Gambit, Laroche Variation",296
Mexican Defense, Horsefly Gambit,293
Bird Opening," From's Gambit, Langheld Gambit",293
Caro-Kann Defense," Karpov Variation, Smyslov Variation",292
Latvian Gambit Accepted, Leonhardt Variation,291
Owen Defense, Wind Gambit,291
Philidor Defense," Lion Variation, Delayed Bishop Sacrifice",291
Nimzo-Indian Defense," Normal Variation, Bernstein Defense",289
Philidor Defense," Nimzowitsch, Locock Variation",289
Benoni Defense," Classical Variation, Argentine Counterattack",289
Queen's Gambit Accepted, Furman Variation,288
King's Indian Defense, Santasiere Variation,288
Lion Defense, Bayonet Attack,286
Scandinavian Defense, Zilbermints Gambit,286
Danish Gambit Accepted, Svenonius Defense,285
Vienna Game," Vienna Gambit, Wurzburger Trap",285
Slav Defense," Czech Variation, Bled Attack",284
Zaire Defense,~,282
Dutch Defense," Classical Variation, Ilyin-Zhenevsky Variation, Winter Variation",280
Trompowsky Attack," Raptor Variation, Hergert Gambit",279
Nimzo-Indian Defense," Normal Variation, Bernstein Defense, Exchange Line",278
Sicilian Defense, Coles Sicilian Gambit,278
Queen's Gambit Accepted, Linares Variation,277
French Defense," Tarrasch Variation, Open System, Advance Line",277
Queen's Gambit Declined, Zilbermints Gambit,276
Dutch Defense," Classical Variation, Blackburne Attack",276
Scotch Game, Tartakower Variation,275
Italian Game," Evans Gambit, Mayet Defense",275
Russian Game," Modern Attack, Murrey Variation",274
Sicilian Defense," Lasker-Pelikan Variation, Sveshnikov Variation, Peresypkin's Sacrifice",272
Ruy Lopez," Open Berlin Defense, Showalter Variation",269
Caro-Kann Defense, Scorpion-Horus Gambit,268
Torre Attack," Fianchetto Defense, Euwe Variation",268
Ruy Lopez," Classical Variation, Modern Main Line",268
Nimzo-Indian Defense," Spielmann Variation, Romanovsky Gambit",267
King's Indian Defense," Four Pawns Attack, Exchange Variation",267
Zukertort Opening, Ampel Variation,266
Bogo-Indian Defense,~,264
Caro-Kann Defense, Massachusetts Defense,263
